ts,100100024_pressure,100100024_flow,100100020_pressure,100100020_flow,100100017_pressure,100100017_flow,79_pressure,79_flow,12167_pressure,12167_flow,100004_pressure,100004_flow,1002196_pressure,1002196_flow,100100028_pressure,100100028_flow,100100006_pressure,100100019_pressure,100100019_flow,100100005_pressure,100100005_flow,100100008_pressure,100100008_flow,100100014_pressure,100100014_flow,11142_pressure,11142_flow,12166_pressure,12166_flow,10012167_flow
2022-08-27 05:00:00,1651.0416,2621.9114,1.2999132,431.578,1379.252,12606.0,1662.22,12476.182,733.28,3215.33,736.8433,0.0,742.852,1006.9531,1093.8125,0.0,1100.0795,1015.625,11831.106,1095.5033,2.0396118,1.8518519,634.2031,1186.2736,2321.3447,722.17596,0.0,740.7313,4644.5586,0.0
2022-08-27 06:00:00,1647.5694,3706.4553,1.1008934,431.578,1173.102,7616.0,1662.22,12476.182,697.6,7056.5654,706.66426,0.0,742.852,1006.9531,912.375,0.0,919.6868,828.125,12710.605,915.1328,1.9047852,1.7939815,857.90625,1006.9627,1968.0076,790.96496,0.0,728.7813,8408.215,0.0
2022-08-27 07:00:00,1647.5694,4023.812,1.0404911,431.578,1232.5599,16588.0,1662.22,12476.182,602.23997,7918.453,606.8587,370.12244,742.852,1006.9531,727.875,0.0,735.58664,619.7917,13701.99,720.3091,0.0,1.5046297,1319.9688,895.4697,2048.0107,917.04196,0.0,627.92754,7344.745,0.0
2022-08-27 08:00:00,1631.9444,36973.594,1.1991825,431.578,1542.8699,33853.0,1662.22,12476.182,505.92,7358.463,522.5382,347.05792,536.32337,1783.5469,697.9687,459.39685,757.1072,619.7917,13308.203,734.27385,0.0,1.6203703,983.0156,992.58524,2287.295,696.136,0.0,578.30876,14126.721,0.0
2022-08-27 09:00:00,1633.6806,36022.336,1.1494503,431.578,1327.1719,17133.0,1662.22,12476.182,689.75997,7498.702,702.7082,0.0,714.8567,1643.9375,911.37505,598.1831,947.62737,843.75,12244.88,937.1054,0.0,1.6782407,1223.1562,1070.7116,3752.0947,489.33497,0.0,736.7263,11064.801,0.0
2022-08-27 10:00:00,1633.6806,34795.523,1.0408529,431.578,1212.379,15987.0,1662.22,12476.182,678.24,9402.891,694.0049,814.2029,708.78017,1775.6719,945.9374,629.36633,973.036,876.73604,12753.322,964.83964,0.0,1.7939815,17.0,1029.4783,3832.4844,479.787,0.0,734.76505,11532.021,0.0
2022-08-27 11:00:00,1631.9444,35045.33,284.9197,431.578,1423.7369,26524.0,1662.22,12476.182,631.99997,11207.717,655.0095,1735.7385,680.1338,2220.8594,919.12496,622.35693,965.7118,869.7916,12762.238,961.1288,0.0,1.6782407,1086.3438,1078.5786,3771.9102,411.21498,0.0,727.11873,15643.092,0.0
2022-08-27 12:00:00,1631.9444,34936.113,1.1801034,431.578,1458.674,25698.0,1662.22,12476.182,674.87997,8633.111,693.7788,705.6449,705.6696,1772.7656,963.5937,573.9828,1002.8754,904.51396,12744.175,994.7224,0.0,1.7361112,1133.2188,1114.6578,3820.2388,387.56198,0.0,738.895,13525.377,0.0
2022-08-27 13:00:00,1633.6806,33710.645,561.0685,20936.46,1517.264,25912.0,1496.432,15574.793,708.31996,6930.085,720.3409,0.0,727.7331,1540.1406,1060.4377,1945.6604,1093.9308,1000.0,12004.172,1084.9566,0.0,1.6782407,1463.0,1194.9544,3809.3237,411.21498,0.0,742.6063,9669.57,0.0
2022-08-27 14:00:00,1633.6806,33710.645,561.0685,20936.46,1517.264,25912.0,1496.432,15574.793,708.31996,6930.085,720.3409,0.0,727.7331,1540.1406,1060.4377,1945.6604,1093.9308,1000.0,12004.172,1084.9566,0.0,1.6782407,1463.0,1194.9544,3809.3237,411.21498,0.0,742.6063,9669.57,0.0
